,anger,disgust,fear,joy,neutral,sadness,surprise,contempt,index,sentence,number of sentences,positive,negative,confidence of lex,length,period,question mark,exclamation point,ellipses,label
24,0,0,0,0,1,0,0,0,25,"Rosesh Bete, Happy Diwali!",0.1,0.0,0.0,1.0,0.040268456375838924,0.0,0.0,1.0,0.0,joy
25,0,0,0,1,0,0,0,0,26,"please dad mubarak ho don't use such a word it will be better because for being born I am blessed to have a third child, no one would have said this to anyone, right?",0.1,1.0,0.0,0.5,0.2550335570469799,0.0,1.0,0.0,0.0,sadness
26,0,0,0,0,1,0,0,0,27,how can you say that rosesh?,0.1,0.0,0.0,1.0,0.04697986577181208,0.0,1.0,0.0,0.0,neutral
27,0,0,1,1,0,0,0,0,28,You did not find any harm until you woke up happily there in the nursing home!,0.1,0.5,0.5,0.5,0.11409395973154363,0.0,0.0,1.0,0.0,joy
28,0,0,0,1,0,0,0,0,29,"han han yaad hai! remember! And Maya, you also danced so much, do you remember?",0.3,1.0,0.0,1.0,0.1342281879194631,0.0,0.3333333333333333,0.6666666666666666,0.0,neutral
29,0,0,0,1,0,0,0,0,30,My cesarean delivery was successful!,0.1,1.0,0.0,1.0,0.040268456375838924,0.0,0.0,1.0,0.0,neutral
30,0,0,0,0,1,0,0,0,31,And who served the dinner?,0.1,0.5,0.5,1.0,0.040268456375838924,0.0,1.0,0.0,0.0,neutral
31,0,0,1,0,0,1,0,0,32,I won't give up on Mithaiyan! That's when Bundi's son died. haina?,0.3,0.0,1.0,0.5,0.12080536912751678,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,neutral
32,0,0,0,0,1,0,0,0,33,boxes of dry fruits in the indravadan!,0.1,0.0,0.0,1.0,0.053691275167785234,0.0,0.0,1.0,0.0,neutral
33,0,0,0,0,1,0,0,0,34,"are haan, yad aaya boxes of dryfruits bate the! Every day we have to face this Diwali...",0.2,0.0,0.0,1.0,0.1342281879194631,0.0,0.0,0.5,0.5,neutral
34,0,0,0,1,0,0,0,0,35,"it's ok mom. There was an excuse for Diwali, to distribute dry fruits... my love!",0.3,0.5,0.5,1.0,0.1342281879194631,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,sadness
35,0,0,0,1,0,0,0,0,36,"happy diwali! Mummy ji please enjoy your gift, candle. how did it feel?",0.3,1.0,0.0,0.75,0.11409395973154363,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,joy
36,0,0,0,0,1,0,0,0,37,"You liked the way it felt, didn't it?",0.1,0.0,0.0,1.0,0.0738255033557047,0.0,1.0,0.0,0.0,contempt
37,0,0,0,0,1,0,0,0,38,han.,0.1,0.0,0.0,1.0,0.013422818791946308,1.0,0.0,0.0,0.0,joy
38,0,0,0,0,1,0,0,0,39,to hang anywhere,0.1,0.0,0.0,1.0,0.020134228187919462,0.0,0.0,0.0,0.0,neutral
39,0,0,0,1,0,0,0,0,40,"And mom, where do you put these stickers? ""shubh labh"", ""happy diwali"", ""welcome"" wale?",0.2,1.0,0.0,1.0,0.16778523489932887,0.0,1.0,0.0,0.0,joy
40,0,0,0,0,1,0,0,0,41,Where did you buy these plastic stickers from?,0.1,0.0,0.0,1.0,0.06040268456375839,0.0,1.0,0.0,0.0,contempt
41,0,0,0,0,1,0,0,0,42,"I didn't buy anything. Mummy didn't give it to me like this at the shop. Seeing me coming, the shopkeeper said, ""Sister, please beat the price as much as you can. If you want, you can buy it for free!""",0.5,0.0,0.0,1.0,0.348993288590604,0.75,0.0,0.25,0.0,joy
42,0,0,0,0,1,0,0,0,43,and you took it?,0.1,0.0,0.0,1.0,0.03355704697986577,0.0,1.0,0.0,0.0,neutral
43,0,0,0,1,0,0,0,0,44,haan! Do it with pride and sell it to me! where to put main balcony?,0.3,1.0,0.0,1.0,0.12080536912751678,0.0,0.3333333333333333,0.6666666666666666,0.0,joy
44,0,0,0,0,1,0,0,0,45,"No matter what we do in this world, this house is no longer ours. Let's go indravadan.",0.2,0.0,0.0,1.0,0.14093959731543623,1.0,0.0,0.0,0.0,neutral
45,0,0,0,0,1,0,0,0,46,hey let's go Maya,0.1,0.0,0.0,1.0,0.03355704697986577,0.0,0.0,0.0,0.0,neutral
46,0,0,0,0,1,0,0,0,47,"one minute! Mom-Dad, where are you both staying?",0.2,0.0,0.0,1.0,0.087248322147651,0.0,0.5,0.5,0.0,neutral
47,1,0,0,0,0,0,0,0,48,"I don't know, son, but the zillions that we have spent on anger, maybe this is his repentance.",0.1,0.0,1.0,1.0,0.15436241610738255,1.0,0.0,0.0,0.0,sadness
48,1,1,1,1,0,0,0,0,49,"indravadan prayaschit is melodramatically middle class. Rosesh beta, from today this house is yours. consider this our punishment. You will not go anywhere but I will go there. happy diwali and goodbye. let's go indu.",0.6,0.5,0.5,0.25,0.28859060402684567,1.0,0.0,0.0,0.0,sadness
49,0,0,0,0,1,0,0,0,50,"Maya this has not been here for a long time, where will we go?",0.1,0.0,0.0,1.0,0.10738255033557047,0.0,1.0,0.0,0.0,neutral
50,0,0,0,0,1,0,0,0,51,rosesh what are you doing? Mom and dad are staying at home!,0.2,0.0,0.0,1.0,0.09395973154362416,0.0,0.5,0.5,0.0,neutral
51,1,0,0,0,0,0,0,0,52,"Look, I knew that this bastard would make a lot of money. what to do now? Do it, do it!",0.3,0.5,0.5,0.4,0.16778523489932887,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,neutral
52,0,0,0,1,0,0,0,0,53,"Rosesh beta, you are blessed with this middle class house.",0.1,1.0,0.0,1.0,0.08053691275167785,1.0,0.0,0.0,0.0,sadness
53,0,0,0,1,0,1,0,0,54,"Even now there is no effect, I keep doing it. Rosesh son, listen, there are some DVDs kept in the third drawer of my wardrobe, don't look at them, huh? or, or listen son, at last mother father is here!",0.3,0.5,0.5,0.5,0.3422818791946309,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,neutral
54,0,0,0,0,1,0,0,0,55,Momma please please...,0.1,0.0,0.0,1.0,0.026845637583892617,0.0,0.0,0.0,1.0,neutral
55,1,0,0,1,0,0,0,0,56,आचा! No young man!,0.2,1.0,0.0,0.5,0.040268456375838924,0.0,0.0,1.0,0.0,neutral
56,0,0,0,0,1,0,0,0,57,hum! We will not go son!,0.2,0.0,0.0,1.0,0.053691275167785234,0.0,0.0,1.0,0.0,neutral
57,0,0,0,0,1,0,0,0,58,momma!!,0.2,0.0,0.0,1.0,0.020134228187919462,0.0,0.0,1.0,0.0,joy
58,0,0,0,0,1,0,0,0,59,"Come on, I have finished eating these!",0.1,1.0,0.0,1.0,0.06040268456375839,0.0,0.0,1.0,0.0,joy
59,0,0,0,1,0,0,0,0,60,"differences have been resolved monisha! What you have eaten is as pathetic as your candle and these stickers, throw them out. Now if anyone comes from home then you will make these modded class decorations. out out! happy diwali baby",0.5,0.75,0.25,0.5,0.30201342281879195,0.5,0.0,0.5,0.0,joy
60,0,0,0,0,1,0,0,0,61,radha bai! vitthal! monisha!,0.3,0.0,0.0,1.0,0.04697986577181208,0.0,0.0,1.0,0.0,neutral
61,0,1,0,0,0,0,0,0,62,"Maya, listen, this is not garbage. These jeans are my favourite.",0.2,0.0,1.0,1.0,0.10067114093959731,1.0,0.0,0.0,0.0,fear
62,0,0,0,1,0,0,0,0,63,There is such a big hole in your favorite jeans!,0.1,1.0,0.0,1.0,0.0738255033557047,0.0,0.0,1.0,0.0,disgust
63,0,0,0,0,1,0,0,0,64,Nowadays it is in fashion to wear those desired clothes.,0.1,0.5,0.5,1.0,0.0738255033557047,1.0,0.0,0.0,0.0,neutral
64,0,0,0,0,1,0,0,0,65,"Indravadan is worn on the knees or on the thighs, then those jeans are fashionable, show me where it is worn?",0.1,0.3333333333333333,0.6666666666666666,1.0,0.1610738255033557,0.0,1.0,0.0,0.0,contempt
65,0,0,0,0,1,0,0,0,66,radha bai! rosesh!,0.2,0.0,0.0,1.0,0.03355704697986577,0.0,0.0,1.0,0.0,neutral
66,0,0,0,0,1,0,0,0,67,"Haha, it's amazing that both of your short statements are missing today.",0.1,1.0,0.0,1.0,0.10067114093959731,1.0,0.0,0.0,0.0,joy
67,0,0,0,0,1,0,0,0,68,indu! Throw away your dust and let's go.,0.2,0.0,1.0,1.0,0.0738255033557047,0.5,0.0,0.5,0.0,neutral
68,0,0,0,1,0,0,0,0,69,Here comes my favorite box of chocolates Maya!,0.1,1.0,0.0,1.0,0.06040268456375839,0.0,0.0,1.0,0.0,surprise
69,0,0,0,1,0,0,0,0,70,your favorite chocolate has expired,0.1,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.03355704697986577,0.0,0.0,0.0,0.0,neutral
70,0,0,0,0,1,0,0,0,71,"Don't let Maya come, you will come less.",0.1,0.0,0.0,1.0,0.0738255033557047,1.0,0.0,0.0,0.0,neutral
71,0,0,0,0,1,0,0,0,72,what less will you come?,0.1,0.0,0.0,1.0,0.040268456375838924,0.0,1.0,0.0,0.0,neutral
72,0,0,0,0,1,0,0,0,73,main kha longa,0.1,1.0,0.0,1.0,0.020134228187919462,0.0,0.0,0.0,0.0,neutral
73,0,0,0,0,1,0,0,0,74,indu ismein zahar hoga hoga,0.1,0.0,0.0,1.0,0.03355704697986577,0.0,0.0,0.0,0.0,neutral
74,0,0,0,0,1,0,0,0,75,to eat you,0.1,1.0,0.0,1.0,0.020134228187919462,0.0,0.0,0.0,0.0,neutral
75,1,0,1,1,0,0,0,0,76,"Do you really want me to marry you? I'll rephrase the question. If God gave you the option of giving up your life or giving up your life, which option would you choose?",0.3,1.0,0.0,0.3333333333333333,0.2550335570469799,0.3333333333333333,0.6666666666666666,0.0,0.0,neutral
76,0,0,0,0,1,0,0,0,77,yes do select one finger from me not again then again now,0.1,0.0,0.0,1.0,0.08053691275167785,0.0,0.0,0.0,0.0,neutral
77,0,0,0,0,1,0,0,0,78,i have got my answer indravadan,0.1,0.0,0.0,1.0,0.040268456375838924,0.0,0.0,0.0,0.0,sadness
78,1,0,0,0,0,0,0,0,79,rosesh where are you? How long have you been shouting?,0.2,0.0,0.0,1.0,0.08053691275167785,0.0,1.0,0.0,0.0,neutral
79,0,0,0,0,1,0,0,0,80,this is your letter...,0.1,0.0,0.0,1.0,0.03355704697986577,0.0,0.0,0.0,1.0,sadness
80,0,0,0,0,1,0,0,0,81,letter?,0.1,0.0,0.0,1.0,0.013422818791946308,0.0,1.0,0.0,0.0,surprise
81,1,0,1,0,0,0,0,0,82,Which you wrote to your father before I was born!,0.1,0.0,0.0,0.5,0.0738255033557047,0.0,0.0,1.0,0.0,sadness
82,1,0,1,1,0,0,0,0,83,"Before you were born? What are these beautiful days, when will we return again!",0.2,1.0,0.0,0.3333333333333333,0.11409395973154363,0.0,0.5,0.5,0.0,contempt
83,0,0,0,0,1,0,0,0,84,very soon that day the sea will come back dad,0.1,1.0,0.0,1.0,0.06711409395973154,0.0,0.0,0.0,0.0,sadness
84,0,0,0,0,1,0,0,0,85,Why are you like this? What is the letter main?,0.2,1.0,0.0,1.0,0.08053691275167785,0.0,1.0,0.0,0.0,neutral
85,0,0,0,1,0,0,0,0,86,This is proof that I am not needed in your people's lives! I am the great child of you people.,0.2,1.0,0.0,1.0,0.15436241610738255,0.5,0.0,0.5,0.0,sadness
86,0,0,0,0,1,0,0,0,87,rosesh! this is supremely middle class!,0.2,1.0,0.0,1.0,0.053691275167785234,0.0,0.0,1.0,0.0,contempt
87,0,0,0,1,0,0,0,0,88,ok main aapka unwanted child hun,0.1,1.0,0.0,1.0,0.040268456375838924,0.0,0.0,0.0,0.0,sadness
88,0,0,0,0,1,0,0,0,89,"that's better. Hey Rosesh, why do you feel like this, son?",0.2,0.0,0.0,1.0,0.10738255033557047,0.5,0.5,0.0,0.0,neutral
89,0,0,0,0,1,0,0,0,90,"Rosesh, shut up. monisha pani lekar aao!",0.2,0.0,0.0,1.0,0.06711409395973154,0.5,0.0,0.5,0.0,anger
90,0,0,0,0,1,0,0,0,91,which lawn?,0.1,0.0,0.0,1.0,0.020134228187919462,0.0,1.0,0.0,0.0,neutral
91,0,0,0,0,1,0,0,0,92,what meaning?,0.1,0.0,0.0,1.0,0.020134228187919462,0.0,1.0,0.0,0.0,neutral
92,0,0,0,0,0,1,0,0,93,A little bit of garlic had fallen in it and it was in the ballpen.,0.1,0.0,1.0,1.0,0.10738255033557047,1.0,0.0,0.0,0.0,neutral
93,0,0,0,0,1,0,0,0,94,Is the ball pen leaking?,0.1,0.0,1.0,1.0,0.040268456375838924,0.0,1.0,0.0,0.0,neutral
94,0,0,0,0,1,0,0,0,95,nahi,0.1,0.0,0.0,1.0,0.006711409395973154,0.0,0.0,0.0,0.0,neutral
95,0,0,0,0,1,0,0,0,96,to that water doctor come,0.1,1.0,0.0,1.0,0.03355704697986577,0.0,0.0,0.0,0.0,neutral
96,0,0,0,0,1,0,0,0,97,okay,0.1,0.0,0.0,1.0,0.006711409395973154,0.0,0.0,0.0,0.0,neutral
97,0,0,0,0,0,1,0,0,98,hello tell me why are you crying?,0.1,0.0,1.0,1.0,0.053691275167785234,0.0,1.0,0.0,0.0,anger
98,0,0,1,0,0,1,0,0,99,"Momma isn't momma, she wants to kill me brother!",0.1,0.5,0.5,0.5,0.08053691275167785,0.0,0.0,1.0,0.0,sadness
99,0,0,0,0,1,0,0,0,100,mom too?,0.1,0.0,0.0,1.0,0.020134228187919462,0.0,1.0,0.0,0.0,neutral
100,0,0,1,0,0,1,0,0,101,Mom why do you want to kill me Rosesh? You are very fond of mom. You are still acting!,0.3,0.0,1.0,0.5,0.1476510067114094,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,neutral
101,1,0,1,1,0,1,0,0,102,"Little did my mother know before I was born, that I would become a great actor.",0.1,0.5,0.5,0.25,0.12080536912751678,1.0,0.0,0.0,0.0,sadness
102,0,0,0,0,1,0,0,0,103,drink this,0.1,0.0,0.0,1.0,0.013422818791946308,0.0,0.0,0.0,0.0,neutral
103,1,1,0,0,0,0,0,0,104,"thank you. Bhabhi, I have such a strange smell.",0.2,0.0,1.0,0.5,0.08053691275167785,1.0,0.0,0.0,0.0,disgust
104,1,0,0,1,0,0,0,0,105,pee it na! Act as if it is the best quality wine. he is a great actor!,0.3,1.0,0.0,0.5,0.1342281879194631,0.3333333333333333,0.0,0.6666666666666666,0.0,contempt
105,0,0,0,0,1,0,0,0,106,"Sahil, why are you beating Rosesh brother?",0.1,1.0,0.0,1.0,0.06040268456375839,0.0,1.0,0.0,0.0,neutral
106,0,0,1,0,0,1,0,0,107,"My body is going to die, Bhabhi, I am not going to die by living like mom...",0.1,0.0,1.0,0.5,0.1342281879194631,0.0,0.0,0.0,1.0,sadness
107,0,0,1,0,0,1,0,0,108,Did mummy try to kill you?,0.1,0.0,1.0,0.5,0.04697986577181208,0.0,1.0,0.0,0.0,neutral
108,0,0,0,0,1,0,0,0,109,You ate Monisha's clothes? haan ​​to kyun?,0.2,1.0,0.0,1.0,0.06711409395973154,0.0,1.0,0.0,0.0,neutral
109,1,0,1,1,0,0,0,0,110,"Before I was born, Sahil Bhai, she did not want a third child. She doesn't want to give me anything!",0.2,1.0,0.0,0.3333333333333333,0.16778523489932887,0.5,0.0,0.5,0.0,sadness
110,0,0,0,0,1,0,0,0,111,what nonsense rosesh?,0.1,0.0,1.0,1.0,0.026845637583892617,0.0,1.0,0.0,0.0,anger
111,0,0,0,0,1,0,0,0,112,He has written in such a letter,0.1,0.0,0.0,1.0,0.04697986577181208,0.0,0.0,0.0,0.0,sadness
112,0,0,0,0,1,0,0,0,113,"Will mom give us any explanation for this, Rosesh?",0.1,0.0,0.0,1.0,0.0738255033557047,0.0,1.0,0.0,0.0,neutral
113,0,0,0,0,1,0,0,0,114,But why did he think like this?,0.1,0.0,0.0,1.0,0.053691275167785234,0.0,1.0,0.0,0.0,sadness
114,0,0,0,0,1,0,0,0,115,"Rosesh, he just thought about that, didn't he?",0.1,0.0,0.0,1.0,0.08053691275167785,0.0,1.0,0.0,0.0,anger
115,0,0,0,0,1,0,0,0,116,han rasesh bhaiya look at me how many times have I thought of throwing away my old kurta but did not do so a few times,0.1,0.0,0.0,1.0,0.174496644295302,0.0,0.0,0.0,0.0,neutral
116,0,0,0,1,0,0,0,0,117,"Monisha, there is a slight difference between your white kurta and Rosesh.",0.1,1.0,0.0,1.0,0.09395973154362416,1.0,0.0,0.0,0.0,neutral
117,0,0,0,0,1,0,0,0,118,"There is no difference Sahil Bhai. I too have worn it, it's like an old kurta!",0.2,0.0,1.0,1.0,0.1342281879194631,0.5,0.0,0.5,0.0,sadness
118,0,0,0,1,0,0,0,0,119,And the color of both is also the same. see. off white.,0.3,1.0,0.0,1.0,0.10067114093959731,1.0,0.0,0.0,0.0,neutral
119,1,0,0,0,0,0,0,0,120,see the coincidence!,0.1,0.0,0.0,1.0,0.026845637583892617,0.0,0.0,1.0,0.0,sadness
120,0,0,0,0,1,0,0,0,121,are han! Rose is not just a hook...,0.2,0.0,0.0,1.0,0.06711409395973154,0.0,0.0,0.5,0.5,anger
121,0,0,0,0,1,0,0,0,122,momma you will stay away from me to get better,0.1,0.0,0.0,1.0,0.06711409395973154,0.0,0.0,0.0,0.0,sadness
122,0,0,0,0,1,0,0,0,123,"Tell me, can a flower stay away from its fragrance?",0.1,0.0,0.0,1.0,0.08053691275167785,0.0,1.0,0.0,0.0,neutral
123,0,0,0,0,1,0,0,0,124,Isn't this line seriously middle class?,0.1,0.0,0.0,1.0,0.053691275167785234,0.0,1.0,0.0,0.0,contempt
124,0,0,0,0,1,0,0,0,125,"han hai. But I thought if I could talk to you in a little poetic language... But tell me, can one get away from the fragrance of a flower?",0.3,1.0,0.0,1.0,0.2214765100671141,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,neutral
125,0,0,0,0,1,0,0,0,126,"The flower and the fragrance can stay away from each other, Momma, if the flower is made of plastic.",0.1,0.0,0.0,1.0,0.1476510067114094,1.0,0.0,0.0,0.0,sadness
126,0,1,0,1,0,0,0,0,127,No no no please baby tell yourself not to be a plastic fool,0.1,0.5,0.5,0.5,0.087248322147651,0.0,0.0,0.0,0.0,sadness
127,0,1,0,0,0,0,0,0,128,Momma plastic flower I told you. Main to bloody fool! Who was thinking from this salon that no one needs me but my momma will need me.,0.3,0.3333333333333333,0.6666666666666666,0.4,0.20134228187919462,0.6666666666666666,0.0,0.3333333333333333,0.0,sadness
128,0,0,0,0,1,0,0,0,129,han to hai na beta hai,0.1,0.0,0.0,1.0,0.040268456375838924,0.0,0.0,0.0,0.0,neutral
129,1,0,1,0,0,0,0,0,130,"You are speaking loudly, Momma. Before you were born to me...",0.2,0.0,0.0,0.5,0.09395973154362416,0.5,0.0,0.0,0.5,sadness
130,0,0,0,1,0,0,0,0,131,rosesh baby it was just a thought.,0.1,1.0,0.0,1.0,0.053691275167785234,1.0,0.0,0.0,0.0,neutral
131,0,0,1,0,0,1,0,0,132,"I mean, you were thinking of killing me.",0.1,0.0,1.0,0.5,0.06711409395973154,1.0,0.0,0.0,0.0,sadness
132,1,0,1,1,0,1,0,0,133,rosesh please don't exaggerate. At that time my health was very weak. dr. Jhunjhunwala also said that having a third child is in danger to my life!,0.4,0.3333333333333333,0.6666666666666666,0.25,0.21476510067114093,0.75,0.0,0.25,0.0,neutral
133,0,0,0,1,0,0,0,0,134,"Meaning, you take my life to save your life...",0.1,1.0,0.0,1.0,0.0738255033557047,0.0,0.0,0.0,1.0,sadness
134,0,0,0,0,1,0,0,0,135,"The question I asked my father is the same question I ask myself, Mom, if God asks you whether it is necessary to sacrifice someone's life, will you give my life, right?",0.1,1.0,0.0,1.0,0.2550335570469799,0.0,1.0,0.0,0.0,sadness
135,1,1,0,0,0,0,0,0,136,"no no i swear baby no! never! I never gave up on you! I understand God that God is angry with you because he has given the world a life, you take his life. Look at the house in front of him. Vahan is a woman who lies in front of the TV like a buffalo all day!",0.6,0.5,0.5,0.3333333333333333,0.436241610738255,0.3333333333333333,0.0,0.6666666666666666,0.0,contempt
136,0,0,0,1,0,1,0,0,137,"Talk about Monisha Bhabhi. But use your time to care for your life, my mother!",0.2,0.6666666666666666,0.3333333333333333,0.5,0.12080536912751678,0.5,0.0,0.5,0.0,neutral
137,1,0,0,1,0,0,0,0,138,"I didn't do anything, but Sahil and Sonia were bitten and walked away doing less sex. I myself was able to take everyone to school. And when our car broke down I started traveling by taxi but did not do so. Then did I run for a part time job? I have ironed his clothes. Amidst these proposals, when I found out that I was going to have a third child, I have to admit that this thought came to my mind for a second, so what sin did I commit?",0.6,0.7142857142857143,0.2857142857142857,0.2857142857142857,0.6845637583892618,0.6666666666666666,0.3333333333333333,0.0,0.0,sadness
138,1,1,0,0,0,0,0,0,139,sorry main ab yahan nahin rook sakta,0.1,0.5,0.5,0.5,0.04697986577181208,0.0,0.0,0.0,0.0,sadness
139,0,0,0,0,1,0,0,0,140,Where will you go?,0.1,0.0,0.0,1.0,0.03355704697986577,0.0,1.0,0.0,0.0,sadness
140,0,0,0,0,1,0,0,0,141,Where in the world does someone need me?,0.1,0.0,0.0,1.0,0.06040268456375839,0.0,1.0,0.0,0.0,neutral
141,0,0,0,0,1,0,0,0,142,Who will need you? i mean no one will need it but who?,0.2,0.0,0.0,1.0,0.10067114093959731,0.0,1.0,0.0,0.0,neutral
142,0,0,0,0,1,0,0,0,143,Momma will find out when the time comes and when the day comes.,0.1,0.0,0.0,1.0,0.09395973154362416,1.0,0.0,0.0,0.0,sadness
143,0,0,0,0,1,0,0,0,144,ad?,0.1,0.0,0.0,1.0,0.013422818791946308,0.0,1.0,0.0,0.0,surprise
144,1,0,0,1,0,0,0,0,145,.hahaha. Can you imagine that the shore is so full of excitement while reciting dialogues from your drama. hahaha,0.3,1.0,0.0,0.5,0.14093959731543623,1.0,0.0,0.0,0.0,joy
145,0,0,0,0,1,0,0,0,146,"Well, what is this, just imagine if Kismi's house was near a graveyard?",0.1,0.0,0.0,1.0,0.11409395973154363,0.0,1.0,0.0,0.0,neutral
146,0,0,0,0,1,0,0,0,147,to kya. Rosesh did not feel the need to speak dialogue. He sits silently in front of Kismi and feels like he is in his own graveyard.,0.3,0.0,0.0,1.0,0.20134228187919462,1.0,0.0,0.0,0.0,joy
147,0,0,0,1,0,0,0,0,148,hahaha. Where is the white blood? hahaha,0.3,1.0,0.0,1.0,0.06040268456375839,0.5,0.5,0.0,0.0,joy
148,0,0,0,0,1,0,0,0,149,shore brother dad?,0.1,1.0,0.0,1.0,0.026845637583892617,0.0,1.0,0.0,0.0,neutral
149,0,0,0,0,1,0,0,0,150,ayy look look look,0.1,0.0,0.0,1.0,0.026845637583892617,0.0,0.0,0.0,0.0,neutral
150,0,0,0,0,1,0,0,0,151,monisha bhabhi,0.1,0.0,0.0,1.0,0.013422818791946308,0.0,0.0,0.0,0.0,neutral
151,0,0,0,0,1,0,0,0,152,look look at monisha gaur,0.1,0.0,0.0,1.0,0.03355704697986577,0.0,0.0,0.0,0.0,neutral
152,0,0,0,0,1,0,0,0,153,what what what what,0.1,0.0,0.0,1.0,0.026845637583892617,0.0,0.0,0.0,0.0,neutral
153,0,0,0,0,1,0,0,0,154,One minute one minute. Rose Baith please go. I will raise my eyes and look after my father. tooth taken out.aaa look at this it is same to same,0.4,0.0,0.0,1.0,0.21476510067114093,1.0,0.0,0.0,0.0,joy
154,0,0,0,0,1,0,0,0,155,han. same,0.2,0.0,0.0,1.0,0.020134228187919462,1.0,0.0,0.0,0.0,neutral
