text,label
You did! Oh.... I always figured you just thought I was Monica's geeky older brother.,surprise
What's with all this sand?,surprise
"Y'know you could totally sell this. It'd be perfect for like umm, a kitty litter campaign.",neutral
Oh no!,surprise
"They can't all be bad.  Find the one where you make your bedroom eyes. Ohh, there it is.",joy
Oh-hey-hey-hey! There you are!,joy
"Yeah, huh.",neutral
Sounds nice.,neutral
How do you think Joey?s going to react when he finds out that you blew off his sister with a letter?,anger
Yeah that would be great! Let me make sure I'm not doing anything Tuesday.,joy
"Og-ee-op, I'm not asking for me, I'm I mean No, I'm-I'm not gay, I'm not asking you out.",fear
How ya doin'? Welcome. Good to see ya!,joy
Remember Phil Huntley?,neutral
"Come on, you think she should go out with me, don't you?",neutral
Ow!! Ow!!!,disgust
Does it bug you?,sadness
Oh my God! I do love you! How did you do it?!,joy
You freak.,disgust
He's like a big disgusting...,disgust
Left!  Thank you.,joy
"It was embarrassing, kids made fun of me.",sadness
That does not sound stupid to me.,neutral
You mean they're lovers.,surprise
"Oh, okay, so I'm sorry, what-what were you-what did you want to tell me?",neutral
"I'm just calling to say that um, everything's fine and I'm really happy for you and your",neutral
Why did I have to start working out again?  Damn you 15s!,anger
"Yeah, big fan.",neutral
That's no problem.,neutral
Kay!,joy
Oh! I knew it! I knew it! I felt really thick this morning.,joy
Just hear me out!,fear
Good idea. Where do you want to go to lunch?,neutral
"Ethan, focus. How could you not tell me?",surprise
"Ah, it's says so in the script!",anger
"Oh yeah, and what would my opening line be? 'Excuse me. Blarrglarrghh.'",fear
Now what is Fabutec?,neutral
Why?! To celebrate your relationship! To solidify your commitment! To declare your love for one another to the world!,anger
"Hey, it's Janice.",neutral
"I-I really do, I like you a lot.",fear
What are you guys doing here?,anger
Said what? Exactly.,fear
"So, are you ready to go?",neutral
"All right now remember, something this big and long is going to be difficult to manuver, fortunately I have a lot of experience in that area.",neutral
Are you looking at her?!,anger
"Since you have such a great sense of what I need, uh ooh, here's-here's 60 bucks, why don't you take Phoebe down to that Colonial flea market of yours and get me some stuff.",neutral
"I mean, you two are-are my I mean, I'm lucky to have just one good",neutral
"You said, you wanna come in for some lemonade?",neutral
Uh Phoebe?,sadness
"Alright, somebody.",neutral
I didn't get it?,neutral
"Well, you said that we except the",neutral
Human spleeeen.,neutral
Wow! Cool!,joy
"Why?! You two are so meant to be together, everybody thinks  so.",surprise
"No, one of them...",neutral
And-and-and I wrote a song for us!,joy
"Yeah, I guess I could use that. I could say that your love sends me to the moon.",neutral
What do you like better action or comedy?,neutral
Fine! Here! Take a hike toots!,anger
"Yes, and it is my dying wish to have that ring.",neutral
...And what did you bring?,neutral
"Wh-which is why I ah,  ahh,  okay.",neutral
No! No! No! Noone can beat me.,anger
"As a wedding gift to you, the hotel would like to give you the honeymoon suite.",neutral
"Look Carol umm, I was, I was thinking maybe uh, maybe we can spice things up a little.",neutral
Say you'll stay beside me,sadness
Did that!,joy
What?! What do you mean you're going to London?,surprise
"I think I can take care of myself, I'll talk to you later.",neutral
"So, did you uh, find anyone to marry you guys yet?",neutral
Ohh! Lucky me! Oh my God! That,surprise
I'm wearing his briefs right now.,neutral
"We're sorry, Pheebs, we're sorry.",sadness
"Oh, thank you.",neutral
"Y'know you wear a white coat, I wear a blue blazer, if that means we can't be friends at work, then so be it.",sadness
Yeah,neutral
Oh. Thanks.,neutral
"Hi, Joey!",joy
"""Indeed there isn't""... I should really get back to work.",joy
Don't you remember when we were jogging in the park and we saw that really pretty bird and wanted to take a pictureI didn't have my camera!,neutral
It certainly did brighten up the inside of the filing cabinets.,joy
And you're gonna want him to eat his heart out so you're gonna have to look fabulous!,neutral
"Youarenot going to believe it! Joshua came into work today, and guess what happened?",joy
Pretty much.,neutral
You didn't say Boutros Boutros Gali.,neutral
No. You?,neutral
"Oh, that's, that's ah, one of the old ones, he's just taking it to the back.",neutral
"I mean, last year Elizabeth now-now this kid.",anger
Because I'm going to London.,neutral
"Okay, look, he's not gonna hurt them, right?",neutral
Storming out!,anger
"Umm, I don't some Italian guy. Come on, read your own label. See you later.",neutral
"No-no, let me in!",anger
"I, I don't know.",neutral
"Please, don't play the music. Just uh one more.",joy
Y'know what would work?,neutral
"Ok, Ok, Pheebs...",neutral
I'm so proud of you.,joy
"Yeah, I have to tell Ross that I love him.",neutral
It is the right time.,joy
"It took you that long to figure it out, huh?",surprise
They've arrested Monica.,sadness
"Ooh, I have to tell you something.",joy
Like-like-like I did something terrible to you!,anger
"Oh that was yours? Uh, yeah, we used it when the duck was throwing up caterpillars.",sadness
"Okay, well Ross, what is this really about?",surprise
Uh-huh.  Good luck.,sadness
"""Heating device.""",neutral
"Phoebe he's right, that is the rule.",neutral
Not after this!,anger
It's just that I,joy
Will you hurry up?,sadness
"Yes, yes, that's right...",neutral
"Wait a second, or maybe you can go in first.",neutral
"Oh, he brought her back to his apartment.",neutral
"Okay, listen this really hurts. Let's go.",anger
I've decided to pay a professional musician to play in here on Sunday afternoons.,neutral
"Hi there. How many, how many ah, did you sell?",neutral
"So you risked your life, for a sandwich!",joy
"Aw forget it, it's from",neutral
"Umm, this is great wine.",joy
And then maybe they're gonna have to leave the city to be near a,sadness
What am I going to do?,fear
I got nothing.,neutral
So why don't you quit?,neutral
"Hey Ross! So, I was checking out the uh, real estate section",sadness
I've never loved anybody as much as I love you.,joy
"All right! But uh, listen, what do you say we crank it up a notch?",joy
Weirdest thing. Did I hearMother of God it's true!,surprise
"Oh yeah, that looks good.",neutral
How can I answer that when I'm pretending I don't know you?,neutral
"No, no! Give it to me!",anger
"Ah yeah, sorry about that.",sadness
Do you wanna come in for some lemonade?,neutral
You can.,neutral
"Oh God, Ross, I cannot do this.",sadness
You are so bad!,joy
Yeah! That's why I'm sleeping with him on the side.,sadness
So if you can help me find my Father then you should!,anger
I'd have to say I really don't care for your tone.,anger
She didn't feel anything for him.,neutral
My boyfriend really does have good taste!,joy
You betcha!,joy
"Which you're not, because you've totally hung up on him!",anger
The laundry song that we sing.,neutral
"Oh, Ross you're right, I don't know why I always thought this was real grass.",sadness
"Well, oh, I'm sorry your car broke down Pheebs, but I'm a little too busy with some of my real friends right now, but please call to let me know you got home safely okay?",anger
I'm so-so sorry about yesterday.,sadness
"Oh, I took Larry there to eat but it was all violated. So we shut it down!",disgust
No! No! Look at that!  It's a line of ants! They're working as a team!,surprise
"I'd have to saythe talking gorilla, because at least I can explain to him that you're making me eat him.",neutral
No that's all right. Don't worry about it.,neutral
Her answer machine?,neutral
"Not like that, I won't!  Kip would have liked the birds!",sadness
This is basically the first time she's gonna see your underwearyou want it to be dirty?,surprise
"Choose, you jackass!",anger
"Uh, may I help you?",neutral
Ross! I think she is trying to make something happen with you to get back at me!,anger
"You gotta help me out here, you gotta set me up, you gotta get me back in the game.",fear
No-no-no! We need something old!,sadness
I love your place! Where is this guy from?,joy
"I bought this today, 'cause I was thirsty for milk, y'know.",neutral
Did you tell him about my thquirt gun idea?,neutral
"Windows are clean, candels are lit.",neutral
"All right, the seven of us miss you.",joy
"Now, don't you hate it when you have to cut a tin can with an ordinary steak knife?",disgust
"Weeeell, it's rum, and-",neutral
"Pheebs, what about you?",neutral
Stop making candy!,anger
Right?,joy
"Oh yeah?  Joshua, give me a call sometime, guys like you  never go out of stylewhat did you throw away?",neutral
Oh that's great! I was hiking along the foothills of Mount Tibidaybo,joy
"Yeah, you're right.",neutral
Oh-oh!,surprise
You got it going on!,joy
"Oh, I know.",sadness
"Four letters: ""Circle or hoop"".",neutral
"Rachel, what is the deal with you and doctors, anyway? Was, like, your father a doctor?",neutral
"Okay, you picked the Gimmie card! You get all of Ross's points!",joy
I don't see any reason why I would do that to myself again.,joy
"What do you mean, like, buy it together?",neutral
Deep Impact,neutral
Y'know it's ironic...,neutral
"Okay, I'm gonna go get Frank.",neutral
Oh-oh! So that's the way it's gonna be huh? Yeah I can break the rules too y'know!,anger
Here.,neutral
Sperm or regular?,neutral
I remember when we first got engaged.,joy
"Umm look, you're coming on a little strong.",fear
"Yeah uh, y'know what uh, let's skip it.",neutral
He started mine first!,anger
Totally. I'm like 90/10.,joy
Not as each other!,neutral
"No, no, it was just our parents and 1 or 2 friends. It was a small wedding.",neutral
These old things.,sadness
Oh really? That's how treat a friend? You get her in trouble and then refuse to marry her?,anger
That was the only way I could get him to,neutral
They look great! Does your boyfriend have the best taste or what?,joy
"Hey, it hasn't come to that yet.",joy
Oooooh.  : Oh! I got an interview! I got an interview!,joy
I don't know Rach.,neutral
What's going on with you?,surprise
I know but it's so hard! Nothing rhymes with your stupid name!,disgust
"Hey! I'm proud of that sauce, it's delicious.",anger
I am!!,joy
"Yeah, me too.",sadness
You've sung Happy Birthday to 20 different women today!,surprise
"Good morning.  Drake, it's your brother Stryker. Can you hear me?",neutral
"Okay, yeah, so it's not gonna work.",neutral
"I mean, I bring a guy home, and within five minutes they're all over him.",disgust
"If you need money, will you please-please just let me loan you some money?",neutral
"Devane, Kelly, and I run into Goldie from time to time.",neutral
"Yeah, y'know what, there are other fish in the sea.",neutral
"Oh wow, you look great! Glad you could make it.",joy
"Uh, you've had a lot of sex right?",neutral
"Hey, uh, you can ignore that.",neutral
Why does my cinamon stick have an eraser?,surprise
Oh no! Oh no! Oh no! Oh no! No! No! No!,disgust
"That's fine, for now we'll just call her Baby Girl Green.",neutral
Warm milk and,neutral
"Oh, now, don't listen to him, Pheebs, I think it's endearing.",neutral
"No-no, this is my collection of fossil samples.",neutral
I'm sorry. I'm done. I'm done.,neutral
I want her to think I might be in a restaurant.. y'know?,fear
"Hey, look at me. I'm making jam, been at it since 4 o'clock this morning.",sadness
"Y'know, maybe it's best that we never got to do it again.",neutral
See? See? It was because you were looking fat pervert!,anger
"Yeah! Okay, here you go.",joy
": Toby... Oh, for God's sake, I don't know what she's talking about!",surprise
HEY!! Do you,anger
"One, my friends are the most important thing in my life, two, I never lie, and three, I make the best oatmeal raisin cookies in the world.",neutral
"Well, Chandler will be there for you too.",neutral
Really?!,surprise
And I will make everyone call me Mrs. Geller!,joy
And the cream?,neutral
"Oh okay, I'll fix that to. What's her e-mail address?",neutral
"Umm. Umm, I'm-I'm just gonna",neutral
"Ross, ten o'clock.",neutral
"Okay, I know. Hold on.  Hey Ross?",neutral
The musician right outside the restaurant...it's kind    of a mood-killer!,sadness
I studied for a year in Barcelona.,neutral
"Okay, I admit it!",anger
"Joey, Ross is gonna be here any second, would you mind watching Ben for me while I use the ladies' room?",neutral
Why did you take the shower curtain down?,surprise
Noooo!  I'm lying. I am so drunk.,joy
"When you say used, do you mean eat as a pre-cooking snack?",neutral
Oh stop it. Joey already told me.,joy
Welcome back!,joy
And remember how I said I was going to keep it in my purse so that if it rang I could just pick it up?,neutral
What kind of father do you think I am?,anger
Also an island.,neutral
Come on.,neutral
"Look, I know things have been a little tight since Janine moved out.",sadness
"Oh, now you want a favour?",joy
Who?,anger
"Well, basically, lately, I've uh, I've uh, sort of had feelings for you.",neutral
Why? I love that thing.,joy
"Yeah, it kinda makes that-that one night special.  Y'know, technically we still",neutral
"Hey! Ooh, how was your first day working at the restaurant?",joy
You still work at the multiplex?,neutral
"Yeah, uh, uh, ok, there's this great rare bookstore on Madison    Avenue.",neutral
"Hero, I uh, I don't knowwell, all right.",neutral
Well I hope you have fun tonight.,neutral
"I know that there's no hole there, I just really liked that picture.",neutral
"So, just tell me the truth!",anger
No I'm not.,anger
There's this kid in my class who said he's in love with me.,sadness
Expect it in 4-6 weeks.,neutral
And all these people actually died?,surprise
Your son.,neutral
Little bigger.,neutral
Yeah-yeah you guys. Get out of here!,neutral
"Oh yeah. Boy, urine cuts",disgust
God. I feel violated.,disgust
What'd you rent?,neutral
"Yeah me too, all night.",neutral
"Well that's the best part. Umm,",neutral
"Okay, okay. This can go on for a while.",neutral
Refill?,neutral
"Wait uh, listen.",neutral
Where you going?,neutral
"Yeah, I'm just, I'm just in town for a conference. Umm,",neutral
Is that true miss?,neutral
"Wow, Monica, you look just like your grandmother. How old was she there?",surprise
"Fortunately, it is me.",joy
"Yes, while I was in the chair!",sadness
"All right, there are no questions in the happy place. Okay, just, the warm breeze, and the moonlight flowing through the trees....",joy
"How-how are you, Mom?",sadness
Okay. Just give us a second. Ross!,neutral
"I know it's really lame, but I got these tickets from my boss andOh no! No! No! My God!",surprise
How could I forget?,surprise
"10, 9, 8, 7... ... negative 46, negative 47, negative 48....",neutral
Hey! Did Chandler show up yet?,fear
"And I'm ashamed to say that I took it, I advised a fellow actor to play a role, homosexually.",sadness
I'm Monica's maid of honor. Okay? Don't try to blue pin me!,anger
"Joey, if I go first, I wanna be looking for my keys.",neutral
"Oh don't worry, I'm not really a party girl.",neutral
Hey Ross! The baby's kicking!,joy
Hi. Do you know what time it is?,neutral
"Oh, okay. Will you take my place?",neutral
"Okay, we'll-we'll gaze into our future and we'll think about our marriage and the days to come.",joy
Can't you figure that out based on my date of birth?,anger
"I’m sorry honey, what were you saying?",neutral
"I won't spit, and I won't stare at Monica's breasts!",anger
"Okay... okay, maybe I will...",joy
"And I will cook anything you want in here , and do anything in there!",fear
Look at you. All jealous.,anger
"Okay, whatever.",joy
Really helped speed the process along!,joy
"Hey-hey-hey-ho-ho, I got this one.",joy
Okay,neutral
I'm an actor right?,neutral
"Okay, see ya!",joy
"That was 10 blocks from here and, the, the woman was walking alone at night, I would never do that.",sadness
"Okay, because I know that this is my Father.",anger
I can't live like this! What are we gonna do? What are we gonna do?,fear
I must say it's nice to see you back on your feet.,joy
"Yeah, there's this guy from Chicago who's supposed to be the next Martin Scorcese, all right?",neutral
"So, in conclusion, the lines all go up , so I'm happy.",neutral
Oohh!! Ohh! Oh-oh-oh! Oh-oh!!,surprise
She's forbidden fruit!,sadness
"No, I know! I get it! It's funny!",joy
"Okay, let me just get a cup of coffee.",neutral
Come again?,surprise
"Look, I understand if you came by to hit me, I deserve it.",sadness
Oh you've got to be kidding me.,surprise
Tell me about it!,neutral
Patrick and I had such a great time last night! I mean I think this could maybe turn into something serious.,joy
What? Why? Where are you?,surprise
Hello?   It's the deli again!,surprise
"Oh well that's what I thought about my first husband, now I'm lucky if my kid gets to spend the weekend with her father and the twins and little Ms. New Boobs.",disgust
"We have. Maybe we'll be seeing each other at dinner tomorrow night, say around 8 o'clock?",neutral
What about me?! You-you just said I could!,anger
"Okay, I didn't know you would say that.",surprise
That's you Rachel!,anger
I don't think the contestants are supposed to speak to each other.,neutral
"You wanna go right now? 'Cause I'll take you right now, buddy! You wanna go?",anger
Y'know this is actually not a great time for me.,sadness
They don't see all the good stuff and all the sweet stuff.,sadness
You could?,surprise
Uh-huh. But it was a first for the rest of my building.,neutral
"Now umm, remember I'm still learning.",neutral
"No, wait! Emily! No, wait, stop! Emily, please",sadness
"I've been thinking. Y'know, about how I'm always seeing girls on top of girls...",neutral
"Hi umm, listen come here, come in.",neutral
She is kicking so much!,surprise
"For all I know, she's trying to find me but couldn't because I kept moving around.",neutral
"Well, we believe it originated here.  In the Aroma Room.",neutral
I mean have you seen a car come by here in the last hour and a half?,fear
"Yeah because you all have such different looks, we're putting you with Raymond and Kyle with Ben.",neutral
What've you been up to?,neutral
They have the best stuff in there.,neutral
"We are gonna be here for a while, it looks like, and we still have boyfriends and your career to cover.",neutral
"No. But it's okay, I'll just put out pickles or something.",neutral
Don't you see? Everyone's looking at me! The plan's working! I didn't even have to take off my top yet!,joy
The ring is gone!,surprise
Well neither do I!,joy
I clunked your heads together!,neutral
"OK, I'll go. OK, senior year of college... on a pool table.",neutral
Ha-ha,joy
"Hey! You guys! Check it out, check it out!  Guess which job I got.",joy
So then you know?,joy
He says he was too.,neutral
She?,surprise
"So, did you shave your legs?",neutral
"Yeah, I don't like that word.",disgust
"Ok, ok, How about if we split it?",neutral
You've got to be smooth about it.,neutral
Very life-like and funny.,neutral
Hey listen.. let me give you a little tip.,neutral
You bug me.,disgust
Ross! Can I talk to you for a second?,neutral
Really!?,surprise
You still love me.,neutral
"Whoa-whoops, I almost lost this baby!",joy
"Well, no. But, um, I bet she probably does.",neutral
I did it anyway.,neutral
"Uh, Pheebs, about your mom...",neutral
Pheebs?,neutral
"Yeah, you're funny.",joy
"Yeah, maybe...",joy
"No, I will. I'm just not up for it tonight.",neutral
Oh my God! No wonder I get such great service at Cafe Maurice.,surprise
Are you jealous?,surprise
"I'm twelve, I'm not stupid.",fear
He could never get a woman like that in a million years.,neutral
"Joey, that paper's like a year old!",neutral
Yes!!! Oh!!,joy
All right I'll have one.,neutral
"I think, that if you really like this guy, you should just trust him.",neutral
"No. It disappears back there behind that baseboard. For a minute there, I thought it went downstairs.",neutral
Don't you point your pants at me!,anger
"No, you messed it up. You're stupid.",anger
I  like to think of myself as the puppet master of the group.,sadness
Not interested in that.,neutral
"Don't worry, I'm brave!",sadness
No it's not. It's small. It's tiny. It's petite. It's wee.,neutral
"I got to go, so ah, I'll see you guys later.",neutral
"And, a brownie!",joy
"No, you are not. We tell you stuff.",neutral
"Yeah, well, you didn't know Chi Chi.",neutral
"Hey, what time is it?",neutral
"Wait, but there's no money! Well this is terrible! You guys are gonna have to get married in like a, rec. center!",sadness
"Monica, why have you brought me here of all places?!",surprise
"So, how many have you sold so far?",neutral
I can't believe you don't want to know.,surprise
Sagittarius?,neutral
Oh my God! What were you doing in a library?,surprise
And why do you care so much?,neutral
"Okay look, I have an idea.",neutral
A $200 an hour electrician couldn't figure out what it did.,sadness
"No, I know, but Ihe just went on.",neutral
That sucks!,disgust
"Hi, could we get two burritos to go, please?",neutral
I'm not?,surprise
"Look, I just saw my best friends brains smeared across the canvas, that's not gonna be me, not me.",sadness
Heads.,neutral
Was your basket on top?,neutral
Score! Where are the disposable cameras?,joy
Um-hmm.,neutral
That's kinda sad.,sadness
"Umm, I-I really don't want to tell this story.",sadness
"Look, Carol, can I call you Carol?",neutral
That's crazy!,surprise
"Thank you, very much! Oh!  Thank you!",joy
"Yeah, okay, at ease solider!",neutral
"Look, is there something wrong with me?",sadness
"Ha-ha, it's not my baby, ha-ha-ha!",anger
"Okay, but if you do, make sure it seems like you're there to see him, okay, and you're not like doing it as a favour to me.",neutral
"Not a fan, alright .",neutral
So I have a flaw!,anger
I'm not asking you to go on a,neutral
Oh does it matter?! All that matters is that you look so handsome.,sadness
